,user_id,report_time,update_time,kwh,appliance_kwh
0,user_0,2024-04-15 00:00:00,2024-04-16 00:00:00,8.94,"0.0449,0.1379,0.0531,0.0515,0.0039"
1,user_1,2024-04-15 00:00:00,2024-04-16 00:00:00,6.52,"0.0,0.242666,0.404679,0.0,0.0"
2,user_2,2024-04-15 00:00:00,2024-04-16 00:00:00,15.77,"0.0,0.114378,0.0,0.023738,0.0"
3,user_3,2024-04-15 00:00:00,2024-04-16 00:00:00,6.99,"0.158347,0.239254,0.0,0.0,0.0"
4,user_4,2024-04-15 00:00:00,2024-04-16 00:00:00,6.21,"0.137637,0.267875,0.061361,0.0,0.001711"
5,user_5,2024-04-15 00:00:00,2024-04-16 00:00:00,12.93,"0.03502,0.233755,0.171074,0.11918,0.097122"
6,user_6,2024-04-15 00:00:00,2024-04-16 00:00:00,24.3,"0.0,0.0,0.292598,0.0,0.0"
7,user_7,2024-04-15 00:00:00,2024-04-16 00:00:00,10.56,"0.085635,0.0,0.228815,0.103161,0.0"
8,user_8,2024-04-15 00:00:00,2024-04-16 00:00:00,11.45,"0.034702,0.12447,0.097048,0.0,0.0"
9,user_9,2024-04-15 00:00:00,2024-04-16 00:00:00,10.03,"0.016556,0.0,0.0,0.0,0.0"
10,user_10,2024-04-15 00:00:00,2024-04-16 00:00:00,17.97,"0.0,0.0,0.0,0.0,0.0"
11,user_11,2024-04-15 00:00:00,2024-04-16 00:00:00,5.34,"0.011379,0.0,0.0,0.0,0.0"
12,user_12,2024-04-15 00:00:00,2024-04-16 00:00:00,6.68,"0.0579,0.1959,0.0651,0.0606,0.0091"
13,user_13,2024-04-15 00:00:00,2024-04-16 00:00:00,14.23,"0.0422,0.1301,0.0581,0.0504,0.0036"
14,user_14,2024-04-15 00:00:00,2024-04-16 00:00:00,8.25,"0.0,0.290609,0.015482,0.034181,0.0"
15,user_15,2024-04-15 00:00:00,2024-04-16 00:00:00,9.75,"0.087684,0.156469,0.249706,0.036298,0.029183"
16,user_16,2024-04-15 00:00:00,2024-04-16 00:00:00,19.84,"0.081474,0.108973,0.395188,0.03918,0.0"
